gene,chromosome,start_position,end_position
OR2D2,11,6891574,6892500
FEV,2,218981087,218985184
TPD52,8,80034745,80231232
LRFN5,14,41606733,41904549
SMIM20,4,25861830,25929813
DUSP9,X,153642401,153651326
FIGNL2,12,51817899,51848718
OBP2A,9,135545504,135549969
BYSL,6,41921229,41933050
NR5A2,1,200027597,200177420
BMP7,20,57168753,57266641
ARHGDIB,12,14942015,14961985
BRS3,X,136487947,136493780
TNC,9,115019575,115118257
EFS,14,23353248,23366286
LRRC15,3,194355249,194369743
OR2F1,7,143954844,143997312
EPB41L5,2,120013066,120179119
ACTL6B,7,100643097,100656458
CCL28,5,43376645,43412391
NIPA2,15,22838625,22869362
FAM110C,2,38814,46870
CDKN1B,12,12685498,12722373
CD82,11,44564414,44620924
UBTF,17,44205033,44221626
PON2,7,95404861,95435389
DUSP4,8,29333064,29350684
KRTAP10-12,21,44697172,44698044
SCO1,17,10672474,10698375
TUFM,16,28842410,28846419
CDH11,16,64943753,65126112
KRTAP3-2,17,40999193,40999906
ZNF100,19,21722771,21767598
ABHD15,17,29560547,29567037
ZNF354A,5,178711512,178732381
H3C2,6,26031589,26032099
METAP1D,2,171999943,172082432
VPS37B,12,122865330,122896127
RAET1E,6,149883179,149898113
ZNF300,5,150894392,150904983
ZAP70,2,97713576,97744327
CARD16,11,105039092,105101431
CDRT15L2,17,20579724,20580911
SOX5,12,23529504,24562544
CD68,17,7579380,7582112
SFXN3,10,101031229,101041244
FADS2,11,61792980,61867354
OR1S2,11,58203204,58204142
NIPAL2,8,98189826,98294393
VDR,12,47841537,47943048
BMPR1B,4,94757937,95158448
LRIG2,1,113073179,113132260
OR7G1,19,9114828,9115763
TMEM100,17,55718739,55732121
NNMT,11,114257765,114314329
LPCAT4,15,34358633,34367539
PLCE1,10,93993894,94332823
PHF3,6,63635802,63779336
CBLC,19,44777845,44802291
PNN,14,39175163,39183220
SSR1,6,7268306,7347446
PURB,7,44876299,44885530
BARHL1,9,132582606,132590252
MPI,15,74890005,74902219
PTPRJ,11,47980425,48170839
NPY,7,24284188,24291862
SMAD5,5,136132845,136188747
AHNAK,11,62433542,62556235
MTF1,1,37809574,37859614
GTF2H1,11,18322276,18367045
GLT8D2,12,103988612,104064468
CTCFL,20,57495966,57525652
PPP2R3B,Y,333933,386955
LRIG3,12,58872037,58920551
TMEM169,2,216081866,216102783
REEP4,8,22138019,22141951
OTOP2,17,74922950,74933912
SGF29,16,28553915,28591790
CARMIL3,14,24052009,24069734
PHF10,6,169703902,169725566
KLF9,9,70384604,70414657
KLF5,13,73054976,73077541
RNASE6,14,20781068,20782467
MYO6,6,75749175,75919537
ZC3H11A,1,203795623,203854999
BCL2A1,15,79960892,79971196
AOC1,7,150824627,150861504
ADAMTSL1,9,17906563,18910950
VAX1,10,117128521,117138301
PHLPP2,16,71637835,71724701
TRDMT1,10,17137336,17202054
VGLL2,6,117265558,117273618
FBXO39,17,6776215,6797101
SERINC1,6,122443348,122471854
SNAPC4,9,136375567,136400176
CYP2C9,10,94938588,94990148
DKK3,11,11956207,12009948
TBPL1,6,133952170,133990432
GRM1,6,146027646,146437601
IGFBP4,17,40443446,40457727
CGGBP1,3,88051944,88149885
SFT2D3,2,127701497,127705242
KDM2B,12,121429096,121582279
ZNF567,19,36687268,36727701
RPS23,5,82273320,82278414
ALDH1B1,9,38392623,38398661
FSIP1,15,39588357,39782858
EEF1A2,20,63477488,63500533
MARCHF1,4,163524298,164384050
TPSG1,16,1221651,1225793
ZNF28,19,52797408,52857600
LPAR2,19,19623639,19628930
RFPL4B,6,112347330,112351294
STX3,11,59713456,59805882
RAB7A,3,128693669,128825942
KRTAP9-1,17,41189887,41190639
CRABP2,1,156699597,156708094
SPPL3,12,120762510,120904358
TMEM220,17,10699015,10730354
ARHGAP20,11,110577042,110713189
CCDC82,11,96349241,96389956
HOXC9,12,53994895,54003337
PRG4,1,186296270,186314567
TTLL10,1,1173880,1197940
SNX12,X,71056332,71073426
SRGAP2,1,206203346,206464436
ADPRHL1,13,113399611,113453488
SHPRH,6,145864245,145964423
ZNF710,15,89999180,90082206
ZNF699,19,9291140,9309838
TAS2R5,7,141790217,141791367
TNFRSF4,1,1211326,1214153
SLC38A3,3,50202871,50221504
CNGA4,11,6234765,6245011
BHLHE41,12,26120030,26125037
KATNAL1,13,30202630,30307551
ADAMTS19,5,129459686,129738683
FAM107B,10,14518557,14774897
CX3CR1,3,39263495,39281735
TUBGCP3,13,112485005,112588205
DSTYK,1,205142505,205211709
TMEM215,9,32783540,32789201
HEXD,17,82418318,82442645
UBE2M,19,58555709,58558954
TP53,17,7661779,7687546
EVI2A,17,31316410,31321749
HAUS8,19,17049729,17075625
BIK,22,43110748,43129712
KCNK4,11,64291302,64300031
PNISR,6,99397629,99425335
DHX30,3,47802641,47851617
IKBKG,X,154541179,154565047
LTA,6,31572054,31574324
TBC1D10A,22,30291990,30326947
MBD3L2B,19,7018969,7021431
HDAC5,17,44076746,44123702
CYTIP,2,157409360,157491093
CACNG4,17,66964707,67033400
LYPD8,1,248737957,248755759
FNDC8,17,35121615,35130732
OR52E8,11,5856749,5857690
TUBA1B,12,49127782,49131397
PRKCH,14,61187559,61550980
LHX3,9,136196250,136205128
ADAD1,4,122378966,122429802
ZNF17,19,57410723,57421934
C9orf152,9,110190048,110208159
GJD4,10,35605341,35608935
FIGN,2,163593396,163736012
TMSB4X,X,12975107,12977227
NFATC3,16,68084751,68229259
BDNF,11,27654893,27722058
RPL21,13,27251283,27259609
INKA2,1,111680630,111755824
SOX13,1,204073111,204127743
COL22A1,8,138588235,138914063
MYL4,17,47200446,47227683
ZNF354B,5,178859953,178888122
CD27,12,6444941,6451718
MAP3K13,3,185282941,185489094
MED12,X,71118543,71144103
MAK,6,10762723,10838553
ABHD17A,19,1876810,1885618
SEMA4C,2,96859718,96873840
OR8H1,11,56288462,56292254
PEX16,11,45909663,45918812
NBEA,13,34942270,35673022
TIMM10B,11,6481496,6484683
PRPF31,19,54115410,54131719
TMEM132B,12,125186386,125662377
ATP6V1D,14,67294371,67360265
FBXO28,1,224114111,224162047
GRB10,7,50590063,50793462
TKFC,11,61333210,61353295
GABBR1,6,29555629,29633976
ING1,13,110712736,110723339
CMC2,16,80966448,81020270
RPLP0,12,120196699,120201235
PSMD10,X,108084202,108091619
RNF7,3,141738249,141747560
HNF4G,8,75407914,75566834
CPM,12,68842197,68971570
LIM2,19,51379909,51388264
TRIM11,1,228393672,228406841
OSR2,8,98940116,98952336
TMEM114,16,8537605,8590511
RSKR,17,28455752,28614197
POU2F2,19,42086110,42196585
NDN,15,23685400,23687305
CAPN7,3,15206112,15252919
SDC1,2,20200796,20225433
DCAF12L1,X,126549383,126552814
PPRC1,10,102132994,102150333
KBTBD2,7,32868166,32894131
PRXL2B,1,2586491,2591470
ZNF426,19,9523223,9538826
KCTD6,3,58491078,58502360
SAMD13,1,84298366,84389957
RSPO1,1,37610802,37635604
SEMA6D,15,47184101,47774228
ZNF850,19,36714383,36772825
STMN2,8,79611117,79666159
MLLT1,19,6210377,6279975
DAGLB,7,6407846,6484190
CDK5RAP1,20,33358437,33401561
DDI2,1,15617458,15669044
STIL,1,47250139,47314892
OR10A3,11,7937171,7941708
MAPKAPK5,12,111842013,111902222
IREB2,15,78437431,78501453
FNDC10,1,1598012,1600135
CGB7,19,49054274,49058860
ERGIC2,12,29337352,29381189
KBTBD3,11,106051098,106077459
ZRANB1,10,124942123,124988189
WSCD1,17,6057807,6124427
ODF2,9,128455186,128501292
NPAS3,14,32934396,33820863
DEFB126,20,142590,145751
SLC8B1,12,113298759,113359502
RIPOR1,16,67518418,67546788
HS3ST1,4,11393150,11429564
SFI1,22,31488688,31618588
ENKUR,10,24981979,25062279
TULP3,12,2877223,2941138
USP17L22,4,9267619,9269211
ADAMTS1,21,26835755,26845409
TACC2,10,121989163,122254545
SCMH1,1,41027202,41242306
ZNF629,16,30778456,30787205
SPX,12,21526296,21541249
KARS1,16,75627472,75648663
ZCCHC18,X,104112060,104115847
MEIS2,15,36889204,37101307
CD9,12,6199715,6238271
KIAA0040,1,175156986,175193265
HOXB8,17,48611377,48618003
B3GNT2,2,62195485,62224731
ZNF446,19,58474017,58481233
CYSLTR2,13,48653709,48711227
NR4A1,12,52022832,52059509
ZNF517,8,144798866,144811169
MET,7,116672051,116798386
ZSCAN30,18,35251058,35290245
UPP2,2,157876557,158136154
OTC,X,38327598,38424632
LCE1C,1,152804832,152806651
MBNL2,13,97221434,97394121
ZNF214,11,6996671,7020355
GATA1,X,48786540,48794311
POU5F1B,8,127322183,127420066
GATA3,10,8045315,8075198
SUV39H2,10,14878820,14904315
CSH2,17,63872012,63873766
RABGAP1L,1,174159410,174995308
MUC4,3,195746765,195811973
SPRN,10,133420666,133424625
USF3,3,113648385,113696646
GPR108,19,6729914,6737606
ESRRG,1,216503246,217137755
FOXI3,2,88446787,88452693
RPE65,1,68428822,68451103
ZNF501,3,44729593,44737936
CP,3,149162410,149221998
TLN1,9,35696948,35732195
KCNC4,1,110210314,110283100
OR6X1,11,123753580,123754518
ABCD4,14,74285269,74303055
CARD10,22,37490362,37519542
GTF2B,1,88852633,88891944
DACH2,X,86148451,86832604
PLEKHB1,11,73646178,73662819
CABP7,22,29720003,29731833
TNN,1,175067509,175148075
PHB2,12,6965327,6970841
NIBAN2,9,127505339,127578989
PSG5,19,43166256,43186536
TMC1,9,72521608,72838297
WNT7A,3,13816258,13880071
CHEK2,22,28687738,28742422
TNNI2,11,1838981,1841680
RBM18,9,122237622,122264855
CFAP57,1,43172330,43254358
CRHBP,5,76953044,76981158
FAM9C,X,13035617,13044682
SPON1,11,13962694,14268133
TCF12,15,56918099,57299707
FBXL5,4,15604381,15681679
BPIFA2,20,33161768,33181412
PPFIBP1,12,27523431,27695565
ZFYVE16,5,80407149,80483379
SLCO6A1,5,102371774,102499016
SLC2A2,3,170995125,171026775
ECHS1,10,133362472,133373714
GTF2A1L,2,48617798,48733148
GTSE1,22,46296870,46330810
LEP,7,128241278,128257629
PHF5A,22,41459705,41468711
DENND1B,1,197504748,197775706
CCDC159,19,11344684,11354944
LIX1,5,97091867,97142846
RNF126,19,647526,663233
SERPINF1,17,1761979,1777627
SOX9,17,72121020,72126416
SCAMP5,15,74957219,75021497
NFRKB,11,129863636,129895590
ZNF891,12,133104779,133130289
HOMER3,19,18929201,18941728
TGFBR3,1,91680343,91906335
RAPH1,2,203394345,203535451
MRPL55,1,228105949,228109358
OR52L1,11,5985892,5986985
TLCD4,1,95117292,95197607
TBCD,17,82751855,82945918
EPB41,1,28887091,29120046
ACSM4,12,7304072,7328719
TMEM132D,12,129071725,129904025
CLK2,1,155262868,155278491
FUZ,19,49806866,49817376
ZNF664,12,123971745,124015445
PRRC2A,6,31620715,31637771
TMEM126A,11,85647956,85656547
SERPINB12,18,63542369,63569329
FAM106A,17,18511221,18625681
KCNV1,8,109963636,109975771
MOB1A,2,74152528,74178932
CYP26C1,10,93060798,93069540
ZSCAN29,15,43357920,43371048
ZNF267,16,31873788,31917357
OR4M2,15,22070241,22083221
IL2,4,122451470,122456725
L3MBTL4,18,5952760,6415477
RTKN,2,74425835,74442422
SLC14A2,18,45212995,45683688
TMEM179B,11,62787387,62790403
SLC25A35,17,8287763,8295410
AHRR,5,320682,438291
NKAIN4,20,63240784,63272694
TNFAIP1,17,28335602,28347009
PMFBP1,16,72112157,72176878
GAB3,X,154675249,154751583
H2BW2,X,104039956,104042454
RTL9,X,110358848,110456334
RS1,X,18639688,18672108
CMTM2,16,66579448,66588275
C1QTNF9B,13,23891099,23897502
CLEC18A,16,69950705,69964452
TMEM106A,17,43211835,43220041
OTUD7A,15,31475398,31870789
FBXW9,19,12688053,12696649
TAL1,1,47216290,47232225
GPR25,1,200872981,200874178
CT45A7,X,135829229,135837280
TMC4,19,54160095,54173250
FAT1,4,186587791,186726722
CCL19,9,34689570,34691276
SYP,X,49187807,49200218
ZNF217,20,53567071,53609907
SLC30A7,1,100896061,100996260
ZNF641,12,48337180,48351414
FBXL17,5,107859035,108382098
NKX2-4,20,21395365,21397526
DARS1,2,135905881,135986100
GSTM2,1,109667348,109709551
ZNF789,7,99472832,99503650
MYO1C,17,1464186,1492698
RPTN,1,152153595,152159228
PRRG3,X,151694607,151705924
TSPAN4,11,840686,867120
PCDH11X,X,91779261,92623230
CACNA1D,3,53328963,53813733
ABCA9,17,68974488,69060949
KPNA4,3,160495007,160565587
KRIT1,7,92197498,92246166
C11orf91,11,33698261,33700826
SMIM10L2A,X,135421944,135428075
RNF103,2,86603395,86623877
GJB6,13,20221962,20232450
PKD1L2,16,81100875,81220370
SH2D4B,10,80537902,80646560
ABCC5,3,183919934,184017939
FOXL2,3,138944224,138947137
PMEPA1,20,57648392,57711536
RIPK2,8,89757783,89791064
TTPAL,20,44470527,44494604
BCAR1,16,75228181,75268053
GABRP,5,170763350,170814047
ZNF277,7,112206695,112356519
BTNL9,5,181040225,181061524
TACR2,10,69403903,69416918
ZDHHC22,14,77131270,77143032
TM2D2,8,38988808,38996824
PLXNB1,3,48403849,48430499
PPP1R14C,6,150143044,150250392
ATPSCKMT,5,10225507,10249897
SLC66A2,18,79902420,79951676
DSE,6,116253604,116444861
ADCY5,3,123282296,123449090
CPN1,10,100042193,100081907
RASGRF2,5,80960310,81230162
SOX2,3,181711925,181714436
IFRD2,3,50287732,50292918
RTL8C,X,135032355,135033546
NUP62,19,49906825,49929925
CAMK2D,4,113418054,113761927
SERPINA5,14,94561442,94593120
PRRC2B,9,131373636,131500197
TAF1D,11,93729948,93784391
GRB14,2,164492417,164622472
ADGRE2,19,14732392,14778560
KRT18,12,52945688,52952911
FAM118A,22,45308968,45342824
FAM186B,12,49582885,49605639
CRYM,16,21238874,21303083
UBE2O,17,76389456,76453208
ALK,2,29192774,29921586
TMEM135,11,87037831,87328824
BRD3,9,134030305,134068555
ZFYVE9,1,52141888,52348671
PLEKHG1,6,150599848,150843665
OR7G3,19,9126012,9126950
KCNA7,19,49067397,49072699
GORASP1,3,39095222,39108369
MYRFL,12,69825227,69959097
EEF1AKMT1,13,20727970,20773961
ARHGAP24,4,85475150,86002668
FNTB,14,64986837,65062655
RPRD1B,20,38033544,38127780
UNC119,17,28546708,28552653
SLC17A2,6,25906892,25930815
LRP2,2,169127109,169362534
SYT15,10,46578217,46594173
PILRA,7,100367530,100400096
ADAM19,5,157395534,157575858
TRAPPC11,4,183659267,183713594
PCDHB1,5,141051374,141059346
FNDC3A,13,48975912,49209779
RAPGEF6,5,131423921,131635234
VGLL3,3,86876388,86991149
ANKRD52,12,56237807,56258384
NCSTN,1,160343294,160358957
BCL6B,17,7023050,7030290
TLE1,9,81582313,81689681
IFFO1,12,6538961,6556102
RPL13,16,89560637,89567834
ARID5B,10,61901684,62096944
TUBA1C,12,49188736,49274600
ZDHHC8,22,20129456,20148007
SCARA5,8,27869883,27992834
RTN3,11,63681446,63759909
DNPH1,6,43225629,43229484
ID4,6,19837366,19842197
MIEF2,17,18259527,18266552
ACTR8,3,53863038,53882198
LCT,2,135787850,135837184
USP39,2,85602856,85657710
TMPRSS9,19,2360238,2426261
GNA13,17,65009289,65056817
CUL1,7,148697914,148801110
NSF,17,46590669,46757679
C3orf85,3,109118252,109152132
ATP6V1G2,6,31544444,31548427
ISOC2,19,55452975,55462343
TRPM1,15,31001065,31161160
SYNGR1,22,39349909,39385588
FKBP10,17,41812680,41823221
CORO1A,16,30182817,30189085
ERVFRD-1,6,11102324,11111845
UNCX,7,1232872,1237326
JAML,11,118193725,118226323
SLC5A6,2,27199587,27212958
GSTO2,10,104268873,104304950
NOL3,16,67170154,67176189
DISC1,1,231626790,232041272
ATG9A,2,219219380,219229717
ZNF701,19,52555822,52599928
MAPK8IP2,22,50600677,50613981
MAP4K4,2,101696850,101894690
CBFA2T3,16,88874858,88977207
GLUL,1,182378098,182392206
ELMOD1,11,107591091,107666779
RIN3,14,92513615,92688994
GPR88,1,100538139,100542021
PLEKHM1,17,45435900,45490758
KRTAP17-1,17,41314912,41315710
COL8A1,3,99638426,99799226
TRPM2,21,44350072,44445246
WDR19,4,39182494,39285810
NRF1,7,129611699,129757082
ARF4,3,57571363,57598220
AUNIP,1,25831913,25859458
TMIGD2,19,4292227,4302431
CARD8,19,48180770,48255946
ZIC4,3,147386046,147406809
TEF,22,41367333,41399326
VRK2,2,57907606,58164001
PDPN,1,13583465,13617957
SPDYE6,7,102345746,102356444
IRS1,2,226731312,226799820
CLEC5A,7,141927357,141947007
NKX6-3,8,41645177,41650817
SCN10A,3,38696802,38816286
LIMA1,12,50175788,50283524
HERC1,15,63608618,63833948
PRR7,5,177446445,177456291
CRTAP,3,33113956,33147773
RAB3IL1,11,61897232,61920269
GGCX,2,85544720,85561819
RPS3,11,75394327,75422280
GPN3,12,110452486,110469268
KLF1,19,12884422,12887201
IRS4,X,108719946,108736563
BTBD7,14,93237550,93333092
TAF1L,9,32629454,32635669
PRSS53,16,31083437,31089628
SPTBN4,19,40466241,40576464
MEI1,22,41699503,41799456
COMMD5,8,144837978,144853736
GBX1,7,151148009,151174745
MIGA2,9,129036614,129072087
DCUN1D3,16,20854897,20900400
TRIM73,7,75395063,75410996
ZFR,5,32354350,32444761
RUNX3,1,24899511,24965121
MTA1,14,105419808,105470737
H2AC14,6,27814302,27814777
LRRC37A3,17,64854130,64919480
YPEL4,11,57645087,57649944
NUP133,1,229440259,229508356
TNS3,7,47275154,47582558
RHO,3,129528639,129535344
LRIT3,4,109846013,109872315
BTG2,1,203305491,203309602
BBX,3,107522936,107811339
ZNF814,19,57848731,57889074
NDUFAF2,5,60945177,61154531
TMEM245,9,109015135,109119974
TAF8,6,42050513,42087461
RICTOR,5,38937920,39074402
ARPC1A,7,99325880,99366267
PRKRA,2,178431292,178451512
TRAT1,3,108822770,108855005
VPS13A,9,77177445,77421537
LEF1,4,108047545,108168956
DHX36,3,154272546,154324487
CORO7,16,4354542,4425705
SYBU,8,109573978,109691791
WARS1,14,100333784,100376805
CHMP3,2,86503430,86563507
MOB2,11,1469457,1501247
FBXO36,2,229922302,230013119
ZNF672,1,248838210,248849520
NEDD9,6,11183298,11382348
RNASE7,14,21042316,21044234
TTC7B,14,90524564,90816500
CCL14,17,35983288,35987033
APOL4,22,36189124,36204840
ZBTB34,9,126860632,126885878
MUSK,9,110668779,110806558
ITGB5,3,124761948,124901418
DNAJB8,3,128462437,128466968
SMAD4,18,51028528,51085045
IL4I1,19,49889654,49929539
GALR3,22,37822198,37825485
LBX1,10,101226180,101230401
UBE2L3,22,21549447,21624034
POLR2G,11,62761554,62766715
LY6D,8,142784882,142786539
CEACAM16,19,44699151,44710718
ECI1,16,2239402,2252300
BTBD1,15,83016423,83067281
EIF4EBP1,8,38030512,38060365
NEK10,3,27106484,27369460
FUT4,11,94543921,94549895
NETO1,18,72742314,72868146
ZNF319,16,57994673,58000672
NAT8,2,73640723,73643229
SH2B3,12,111405000,111451623
RNF40,16,30761745,30776307
IQCF5,3,51873721,51875601
MIOS,7,7566823,7609140
TRIP10,19,6737925,6751530
GIP,17,48958554,48968596
COL17A1,10,104030753,104086225
TCP10L2,6,167172145,167196679
TRHDE,12,72087266,72670758
LRRC43,12,122167738,122203471
ZNF324B,19,58450369,58459868
ZNF573,19,37735833,37817300
PAPPA2,1,176463171,176845601
CLIC6,21,34668994,34718227
TBKBP1,17,47694030,47712063
TEX50,1,173635338,173637130
PDP2,16,66878589,66895754
DYNLT3,X,37836757,37847571
NUDT14,14,105172937,105181323
UQCRB,8,96222947,96235564
EBLN1,10,22208475,22218018
ATP5ME,4,672423,674369
ANKDD1A,15,64911861,64958700
USE1,19,17215346,17220237
SCNN1D,1,1280436,1292029
RNASEH2C,11,65714005,65720818
PRAMEF2,1,12857086,12861909
NKX2-5,5,173232109,173235311
ESCO1,18,21529041,21600966
KIF14,1,200551497,200620771
MKX,10,27672874,27746060
RNF113B,13,98175785,98177269
SPANXD,X,141697411,141698739
CDH22,20,46173737,46309009
SRMS,20,63538489,63547749
LAMP5,20,9514316,9530541
ETV7,6,36354091,36387800
STK11,19,1177558,1228431
RNF38,9,36336396,36487548
SPATA2L,16,89696357,89701705
SPSB4,3,141050744,141148613
FADS3,11,61873519,61892136
TRMT13,1,100133045,100150496
LAP3,4,17577198,17607975
CDC42EP3,2,37641882,37738468
SCX,8,144266453,144268481
SMARCAD1,4,94207605,94291293
CCL21,9,34709005,34710167
GSE1,16,85169525,85676204
MBTPS1,16,84053761,84116942
CABCOCO1,10,61662929,61766845
SIDT1,3,113532400,113629714
FEM1A,19,4791734,4801273
CYB561,17,63432298,63447108
RRAGD,6,89364616,89412735
WAPL,10,86435256,86521843
OR3A3,17,3411370,3424070
DUOX2,15,45092650,45114172
ITIH6,X,54748918,54798255
ZNF304,19,57351271,57359898
PEBP4,8,22713237,23000000
RNF114,20,49936336,49953892
AHCYL2,7,129225021,129430211
IDH2,15,90083045,90102490
OR10H4,19,15944299,15950350
LAMB3,1,209614870,209653106
RIOX1,14,73490933,73493394
SIX2,2,45005182,45009452
PLK5,19,1508023,1536046
KAT5,11,65711996,65719604
CYP2E1,10,133520406,133561220
DRD3,3,114127580,114199407
SPINK8,3,48306842,48333661
ECSIT,19,11505927,11530564
TRAPPC3,1,36136570,36156053
HLX,1,220879431,220885059
EEF1AKMT3,12,57771492,57782541
ABHD4,14,22598249,22612963
FSCN3,7,127591409,127602144
QTRT2,3,114005833,114088542
ABCB11,2,168915498,169031324
CKMT1A,15,43692886,43702501
PRICKLE3,X,49174802,49186528
LSG1,3,194640791,194672463
TMEM232,5,110289233,110738956
H2BC7,6,26199516,26199988
IL18RAP,2,102418570,102452567
HDAC10,22,50245183,50251405
ZIC5,13,99962964,99971767
PTGFR,1,78303884,78540701
ARIH1,15,72474308,72602987
HTR1D,1,23190178,23217547
STATH,4,69995966,70002570
ZNF792,19,34956354,34964284
PAQR7,1,25861484,25875874
MBD1,18,50266746,50281846
ADAM8,10,133262416,133276909
OR52K1,11,4482646,4493497
INCENP,11,62123998,62155474
RPL30,8,98024851,98046469
UBL4A,X,154483717,154486615
MAN2C1,15,75355207,75368656
CUTC,10,99702558,99756187
RNF186,1,19814029,19815283
SLC27A4,9,128340506,128363283
TRAK1,3,42013624,42225890
EGFR,7,55018820,55211628
OTX1,2,63050057,63057836
TMEM131,2,97756333,97996226
TBC1D13,9,128787233,128810432
HMX3,10,123135970,123139423
TRIM74,7,72959485,72969466
TBL2,7,73567537,73578791
TERT,5,1253147,1295085
KCTD19,16,67289428,67326760
CCR7,17,40551081,40565472
PALD1,10,70477658,70668754
ZNF79,9,127424374,127449728
AQP3,9,33441156,33447596
DMAC1,9,7796500,7888380
CLDN14,21,36460616,36576569
SSH3,11,67303478,67312607
SEPHS1,10,13317425,13348596
KLF4,9,107484852,107490482
OR6S1,14,20640696,20641691
LTA4H,12,96000753,96043520
C6orf47,6,31658298,31660778
OGDH,7,44606549,44709070
PANK1,10,89579497,89645242
OR2AG1,11,6783020,6791558
HOXD13,2,176092721,176095944
BRCA1,17,43044292,43170245
NR1H2,19,50329640,50383404
VPS4A,16,69311336,69326939
RNF145,5,159157409,159210053
PPP1R10,6,30600400,30618612
POFUT2,21,45263928,45287898
DDX53,X,22999960,23003589
SLC37A2,11,125063302,125090516
CAD,2,27217369,27243943
UBLCP1,5,159263285,159286037
FOXI2,10,127737185,127741183
HUS1,7,47961882,47979682
CRLS1,20,6006052,6040053
STAP2,19,4324040,4342786
FNBP1,9,129887179,130043238
USP21,1,161159450,161165723
LRRC8C,1,89632707,89769903
TMEM212,3,171843349,171938715
SNX25,4,185204237,185390928
OR10J5,1,159535078,159536007
MOXD1,6,132296055,132401556
HRK,12,116856144,116881441
GATA6,18,22168837,22204154
MTBP,8,120445400,120542133
RIPOR3,20,50585180,50692021
TNRC6C,17,77958624,78108822
BEST3,12,69643360,69699476
TPCN1,12,113221050,113298589
PALM2AKAP2,9,109498325,110172512
SERINC5,5,80111228,80256048
IL1B,2,112829751,112836816
CDH17,8,94124381,94217303
ABCC6,16,16149565,16223637
CXCL1,4,73869392,73871308
OR4C6,11,55662201,55666195
CIP2A,3,108549864,108589644
ETFB,19,51345161,51366449
RIPOR2,6,24803362,25042170
EXOC3L2,19,45212370,45245407
MARVELD2,5,69415065,69444330
RBM10,X,47144284,47186814
ADM5,19,49688953,49690575
TBC1D32,6,121079494,121334745
EP400,12,131949931,132080460
MTERF4,2,241072169,241102332
IMP3,15,75639085,75648706
KDELR3,22,38468043,38483447
MMP7,11,102520508,102530853
ULK4,3,41246599,41962130
TYSND1,10,70137981,70146700
RAD54L,1,46246461,46278482
PKD2L1,10,100288149,100330264
ITPKB,1,226631688,226739323
ASF1B,19,14119512,14136622
TEKT4,2,94871430,94876823
MFSD9,2,102714630,102736888
RITA1,12,113185045,113193653
ZNF667,19,56438634,56478099
CCNA1,13,36431520,36442870
SPIB,19,50418938,50431314
ZC4H2,X,64915802,65034713
PDE4C,19,18207961,18255419
ACKR1,1,159204568,159206500
DCAF17,2,171434217,171485052
OR11H12,14,18601117,18602097
SYTL1,1,27342009,27353937
STX11,6,144149970,144191939
